회사,제목,마감일,인원,성별,연령,학력,우대사항,급여,근무기간,근무요일,근무시간,업직종,고용형태,복리후생,모집분야,인원_추가사항,연령_추가사항,급여_추가사항,급여형태,급여금액,근무기간_추가사항,근무요일_추가사항,근무시간_추가사항
판패업,[TM] 재택근무/ TM사원 및 영업사원 모집,상시모집,00명,무관,무관,무관,없음,"['월급', '2,500,000원', '주급가능', '200~300만 / 면접시 급여협의']",1년이상,월~금,10:00~16:00,"텔레마케팅·아웃바운드,오프라인영업·판매,고객상담·인바운드 초보가능","알바, 계약직","인센티브제, 정기보너스",없음,"인원미정,친구",없음,"주급가능,200~300만 / 면접시 급여협의",월급,"2,500,000원",없음,없음,없음
동화세상에듀코,[재택가능] 국영수사과 오프/온라인 신입선생님모집,2022.12.18,3명,무관,무관,대학(4년제) 졸업 이상,"영어가능, 유사업무 경험","['월급', '2,500,000원', '협의가능 수습기간있음']",1년이상,요일협의,시간협의,"방문·학습지,교육·강사 기타,독서·논술·스피치학원",위촉직(프리랜서),"고용보험, 산재보험, 정기휴가","교육강사, 학습코칭",친구,없음,협의가능 수습기간있음,월급,"2,500,000원",없음,없음,없음
동화세상에듀코,[재택가능] 국영수사과 오프/온라인 신입선생님모집,2022.12.18,3명,무관,무관,대학(4년제) 졸업 이상,"영어가능, 유사업무 경험","['월급', '2,500,000원', '협의가능 수습기간있음']",1년이상,요일협의,시간협의,"방문·학습지,교육·강사 기타,독서·논술·스피치학원",위촉직(프리랜서),"고용보험, 산재보험, 정기휴가","교육강사, 학습코칭",친구,없음,협의가능 수습기간있음,월급,"2,500,000원",없음,없음,없음
빈패밀리(원두및머신 커피관련),안녕하세요 빈패밀리(B.F)에서 함께달려주실 팀원을 모십니다.,상시모집,00명,무관,무관,무관,"일본어가능, 컴퓨터활용가능, 포토샵가능, 차량소지, 군필자, 유사업무 경험, 인근거주","['연봉', '21,869,760원', '협의가능 당일지급 주급가능 수습기간있음']",1년이상,요일협의,시간협의,"바리스타,커피전문점,매장관리·판매 초보가능","알바, 계약직","연차, 월차, 정기휴가, 인센티브제, 정기보너스, 장기근속자 포상, 우수사원 표창/포상, 기숙사운영",없음,"인원미정,친구",없음,협의가능 당일지급 주급가능 수습기간있음,연봉,"21,869,760원",협의가능,없음,없음
백파식당,"홀 직원 및 아르바이트 남,여 구함",상시모집,00명,무관,무관,무관,없음,"['시급', '10,000원', '홀 직원 7~8시간 근무 급여 250만원']",6개월~1년,요일협의,시간협의,"서빙,주방장·조리사,일반음식점 초보가능","알바, 정규직","국민연금, 산재보험, 건강보험, 고용보험, 퇴직금",없음,인원미정,없음,홀 직원 7~8시간 근무 급여 250만원,시급,"10,000원",협의가능,(월 화 수 목 금 토 ),(오픈조 5시-10시 마감조 8시-12시에서 1시 사이)
주식회사 엠에이엔엔,[단기 근무] 전자제품 미스테리쇼퍼 구인,상시모집,00명,무관,20세(2003년생) ~ 49세(1974년생),무관,없음,"['건별', '22,000원', '협의가능']",1주일~1개월,요일협의,시간협의,설문조사·리서치 초보가능,알바,없음,없음,"인원미정,친구",없음,협의가능,건별,"22,000원",협의가능,"(원하는 날짜, 원하는 시간대)","(평일 주말, 오전 오후 상관 없이 원하는 시간대)"
아이들나라,아이들나라에서 유아체육강사를 구합니다.,상시모집,00명,무관,무관,무관,"차량소지, 운전가능, 유사업무 경험","['연봉', '25,200,000원', '협의가능']",1년이상,월~금,11:00~16:00,"예체능 강사,유아·유치원,교육·강사 기타 초보가능","정규직, 계약직","국민연금, 고용보험, 산재보험, 건강보험, 퇴직금, 각종 경조금, 차량유류보조금, 인센티브제, 정기휴가",없음,인원미정,없음,협의가능,연봉,"25,200,000원",없음,없음,없음
에이스아카데미,영유아 유아체육강사를 모집합니다.,상시모집,10명,무관,무관,무관,"차량소지, 운전가능, 유사업무 경험","['연봉', '25,200,000원', '협의가능']",1년이상,월~금,11:00~16:00,"유아·유치원,예체능 강사,교육·강사 기타 초보가능","정규직, 계약직","국민연금, 고용보험, 산재보험, 건강보험, 인센티브제, 퇴직금, 각종 경조금, 차량유류보조금, 정기휴가",없음,없음,없음,협의가능,연봉,"25,200,000원",없음,없음,없음
한국가상현실전문가협회,[재택근무 2시간] 홍보 및 홈페이지관리,2022.12.04,1명,무관,무관,무관,"컴퓨터활용가능, 포토샵가능, 한글(HWP)가능, 워드가능, 엑셀가능, 파워포인트가능, 유사업무 경험","['시급', '10,000원', '1개월후 협의하여 시급조정함']",1년이상,주5일,시간협의,"마케팅·광고·홍보,웹·콘텐츠기획,사이트관리·기술지원","알바, 정규직",없음,없음,없음,없음,1개월후 협의하여 시급조정함,시급,"10,000원",협의가능,"(월, 화, 수, 목, 금)",(AM 9시~ PM6시 사이에 원하는 시간에 2시간 근무가능)
㈜해커스어학원,"해커스교육그룹 사무보조 재택 아르바이트 모집 (사무알바, 사무직)",상시모집,15명,무관,무관,무관,"업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","['시급', '10,992원']",3개월~6개월,월~금,09:00~18:00,"사무보조,문서작성·자료조사 초보가능",알바,없음,없음,친구,없음,없음,시급,"10,992원",없음,없음,없음
돈조이대부중개,지식인 답글달기 단순 마케터(초보/재택근무 가능) 구함,상시모집,5명,무관,무관,무관,"컴퓨터활용가능, 유사업무 경험","['시급', '9,160원', '협의가능 주급가능']",1년이상,주5일,시간협의,서비스 기타 초보가능,"알바, 위촉직(프리랜서)",없음,없음,없음,없음,협의가능 주급가능,시급,"9,160원",협의가능,"(월, 화, 수, 목, 금)",없음
세일즈랩,재택 쇼핑라이브 진행 담당자 모집,상시모집,00명,무관,무관,무관,유사업무 경험,"['시급', '10,000원']",3개월~6개월,요일협의,시간협의,미디어 기타 초보가능,"알바, 계약직",없음,없음,인원미정,없음,없음,시급,"10,000원",협의가능,(주 2일(요일 협의)),(밤 9시 이후에 1시간 라이브 진행)
㈜한국인증융합연구원,연구보고서 작성 재택알바,상시모집,10명,무관,무관,대학(4년제) 졸업 이상,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 업무 관련 자격증 소지, 유사업무 경험","['건별', '8,000원', '협의가능', '작성 보고서 매수별 금액이 상이함 (한글 문서 사용)']",1개월~3개월,주5일,시간협의,문서작성·자료조사 초보가능,알바,없음,없음,친구,장년가능,"협의가능,작성 보고서 매수별 금액이 상이함 (한글 문서 사용)",건별,"8,000원",협의가능,"(월, 화, 수, 목, 금)",없음
알지오 평생교육원,[재택] 동영상편집 사원 모집,상시모집,10명,무관,무관,고등학교 졸업 이상,유사업무 경험,"['시급', '15,000원', '동영상 편집 시간을 기준으로 지급합니다.']",1년이상,요일협의,시간협의,"사무보조,마케팅·광고·홍보,동영상촬영·편집 초보가능",알바,없음,없음,없음,없음,동영상 편집 시간을 기준으로 지급합니다.,시급,"15,000원",협의가능,없음,없음
익스페셜컴퍼니,"(재택알바) 초보가능 원고작성, 글쓰기 알바 혹은 프리랜서를 모집합니다.",상시모집,20명,무관,무관,무관,없음,"['월급', '520,000원']",6개월~1년,월~금,시간협의,문서작성·자료조사 초보가능,알바,없음,없음,친구,없음,없음,월급,"520,000원",없음,없음,없음
㈜스토리판다,인터넷 방송 방청 아르바이트 / 재택근무 가능,2022.12.05,00명,무관,20세(2003년생) ~ 60세(1963년생),무관,없음,"['건별', '5,000원']",3개월~6개월,요일협의,시간협의,"바이럴·SNS마케팅,서비스 기타",알바,없음,없음,"인원미정,친구",장년가능,없음,건별,"5,000원",협의가능,없음,없음
날쌘카페 명일고덕점,날쌘카페 명일고덕점 파트타임 모집,상시모집,1명,여자,21세(2002년생) ~ 45세(1978년생),무관,유사업무 경험,"['시급', '9,200원', '수습기간있음']",6개월~1년,주4일,10:00~13:00,"커피전문점,일반음식점",알바,없음,없음,없음,없음,수습기간있음,시급,"9,200원",협의가능,"(화, 수, 목, 금)",없음
늘솜제작소,블로그 원고 작성 재택근무 (블로그 없어도 됩니다.),상시모집,00명,무관,무관,무관,유사업무 경험,"['건별', '4,000원', '초보 기준 2000자 당 4000원 (월급제) / 평균 50만원 (내부 등급에 따라 원고료 상승)']",1년이상,요일협의,시간협의,마케팅·광고·홍보 초보가능,"알바, 위촉직(프리랜서)",없음,없음,"인원미정,친구",장년가능,초보 기준 2000자 당 4000원 (월급제) / 평균 50만원 (내부 등급에 따라 원고료 상승),건별,"4,000원",협의가능,없음,없음
주식회사 엔지프로젝트,"[간단한 사무보조] 초보/주말 가능, 건당 12만원 블로그 재택근무",상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능']",1개월~3개월,요일협의,시간협의,"바이럴·SNS마케팅,마케팅·광고·홍보,사무보조 초보가능","알바, 계약직","연차, 월차, 정기휴가, 인센티브제, 정기보너스, 장기근속자 포상, 우수사원 표창/포상, 중식제공, 주차비지원, 주차가능",없음,"인원미정,친구",없음,협의가능 당일지급 주급가능,건별,"100,000원",없음,없음,"(하루 10분, 협의가능)"
블로그 서포터즈 지원자 선호도 1등기업 [까레오],[사무보조/재택근무/ 당일지급] 꿀부업알바 건당12만원 블로그포스팅관리,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '급여 협의 가능, 추후 인상 가능']",1개월~3개월,요일협의,시간협의,"마케팅·광고·홍보,바이럴·SNS마케팅,사무보조 초보가능","알바, 계약직",없음,없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,급여 협의 가능, 추후 인상 가능",건별,"100,000원",협의가능,없음,없음
#블로그기자단#박데이터랩,[블로그기자단] 건당10만/당일지급/꿀알바/단기/장기/초보/학생/주부,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '급여 협의가능']",1개월~3개월,월~일,09:30~17:30,"바이럴·SNS마케팅,사무보조,마케팅·광고·홍보 초보가능","알바, 계약직","야간근로수당, 휴일근로수당, 장기근속수당, 우수사원 표창/포상, 인센티브제, 정기보너스",없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,급여 협의가능",건별,"100,000원",협의가능,없음,(휴게시간 60분)
㈜소리자바,재택/프리랜서 한국어 방언 전사자 모집,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 업무 관련 자격증 소지, 유사업무 경험","['시급', '80,000원', '수습기간있음', '※ 실제 근무시간이 아닌 음성파일 1시간 기준 급여입니다.']",1개월~3개월,주6일,시간협의,"데이터수집·가공,편집·교정·교열,문서작성·자료조사","알바, 계약직",없음,없음,"인원미정,친구",없음,"수습기간있음,※ 실제 근무시간이 아닌 음성파일 1시간 기준 급여입니다.",시급,"80,000원",없음,없음,없음
본아한의원,재택부업 - 일상글 포스팅 아르바이트,상시모집,00명,여자,18세(2005년생) ~ 45세(1978년생),무관,유사업무 경험,"['건별', '1,500원', '협의가능']",1개월~3개월,요일협의,시간협의,바이럴·SNS마케팅,알바,없음,"마케팅, 블로그, 재택","인원미정,친구",청소년가능,협의가능,건별,"1,500원",협의가능,없음,없음
주식회사 엔지프로젝트,"[간단한 사무보조] 초보/주말 가능, 건당 12만원 블로그 재택근무",상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능']",1개월~3개월,요일협의,시간협의,"바이럴·SNS마케팅,마케팅·광고·홍보,사무보조 초보가능","알바, 계약직","연차, 월차, 정기휴가, 인센티브제, 정기보너스, 장기근속자 포상, 우수사원 표창/포상, 중식제공, 주차비지원, 주차가능",없음,"인원미정,친구",없음,협의가능 당일지급 주급가능,건별,"100,000원",없음,없음,"(하루 10분, 협의가능)"
"엠디비코리아, 블로그 서포터즈 1위",블로그서포터즈/건당10만/당일지급/단기/주말/학생/초보,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 엑셀가능, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '건당 최소 3만원부터 협의가능/당일지급']",1개월~3개월,월~일,10:00~18:30,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅 초보가능","알바, 계약직","장기근속수당, 정기보너스, 인센티브제, 장기근속자 포상, 우수사원 표창/포상",없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,건당 최소 3만원부터 협의가능/당일지급",건별,"100,000원",협의가능,없음,(휴게시간 60분)
클레오노모스(블로그),[블로그포스팅알바] 당일지급/건당20만원/재택근무/부업알바/단기알바/투잡,상시모집,00명,무관,무관,무관,없음,"['건별', '200,000원', '협의가능 당일지급']",3개월~6개월,요일협의,시간협의,바이럴·SNS마케팅 초보가능,알바,없음,없음,인원미정,장년가능,협의가능 당일지급,건별,"200,000원",협의가능,없음,없음
NOISYMARKETING(블로그),블로그꿀알바/당일지급/건당20만원/재택근무/부업알바/단기알바/투잡꿀알바,상시모집,00명,무관,무관,무관,없음,"['건별', '200,000원', '당일지급']",3개월~6개월,요일협의,시간협의,바이럴·SNS마케팅 초보가능,알바,없음,없음,인원미정,없음,당일지급,건별,"200,000원",협의가능,없음,없음
노이지마케팅(블로그),블로그포스팅알바/건당20만원/당일지급/재택근무/부업알바/투잡알바/단기알바,상시모집,00명,무관,무관,무관,없음,"['건별', '200,000원', '당일지급']",3개월~6개월,요일협의,시간협의,바이럴·SNS마케팅 초보가능,알바,없음,없음,인원미정,없음,당일지급,건별,"200,000원",협의가능,없음,없음
위런에듀,[재택근무] 영어 단어 추가 컨텐츠 작성,2022.12.04,8명,무관,무관,무관,없음,"['건별', '600,000원', '3.3% 세금 제외 후 지급, 단어 수에 따라 지급 금액이 다릅니다.']",1주일~1개월,요일협의,시간협의,"외국어·어학원,번역·통역,교육·강사 기타",위촉직(프리랜서),없음,없음,없음,없음,"3.3% 세금 제외 후 지급, 단어 수에 따라 지급 금액이 다릅니다.",건별,"600,000원",없음,없음,없음
"엠디비코리아, 블로그 서포터즈 1위",블로그서포터즈/건당10만/당일지급/단기/주말/학생/초보,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 엑셀가능, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '건당 최소 3만원부터 협의가능/당일지급']",1개월~3개월,월~일,10:00~18:30,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅 초보가능","알바, 계약직","장기근속수당, 정기보너스, 인센티브제, 장기근속자 포상, 우수사원 표창/포상",없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,건당 최소 3만원부터 협의가능/당일지급",건별,"100,000원",협의가능,없음,(휴게시간 60분)
#블로그기자단#박데이터랩,[블로그기자단] 건당10만/당일지급/꿀알바/단기/장기/초보/학생/주부,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 업무 관련 자격증 소지, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '급여 협의가능']",1개월~3개월,월~일,09:30~17:30,"바이럴·SNS마케팅,사무보조,마케팅·광고·홍보 초보가능","알바, 계약직","야간근로수당, 휴일근로수당, 장기근속수당, 우수사원 표창/포상, 인센티브제, 정기보너스",없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,급여 협의가능",건별,"100,000원",협의가능,없음,(휴게시간 60분)
㈜금성출판사 푸르넷공부방,"초,중등 공부방 교사 구함(영어지도만도 가능자)",상시모집,3명,무관,30세(1993년생) ~ 52세(1971년생),대학(4년제) 졸업 이상,유사업무 경험,"['건별', '900,000원']",1년이상,월~금,13:00~18:00,"방문·학습지,입시·보습학원 초보가능",위촉직(프리랜서),인센티브제,없음,없음,장년가능,없음,건별,"900,000원",없음,없음,없음
블로그 서포터즈 지원자 선호도 1등기업 [까레오],[사무보조/재택근무/ 당일지급] 꿀부업알바 건당12만원 블로그포스팅관리,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 유사업무 경험, 대학재학생, 대학휴학생","['건별', '100,000원', '협의가능 당일지급 주급가능', '급여 협의 가능, 추후 인상 가능']",1개월~3개월,요일협의,시간협의,"마케팅·광고·홍보,바이럴·SNS마케팅,사무보조 초보가능","알바, 계약직",없음,없음,"인원미정,친구",장년가능,"협의가능 당일지급 주급가능,급여 협의 가능, 추후 인상 가능",건별,"100,000원",협의가능,없음,없음
세일코리아넷 재택근무 상담원,[재택근무/시간선택]홈쇼핑 인바운드 재택상담원 채용,상시모집,00명,무관,무관,고등학교 졸업 이상,유사업무 경험,"['월급', '2,000,000원', '아래 상세 내용 확인부탁드립니다.']",3개월~6개월,월~금,시간협의,고객상담·인바운드 초보가능,"계약직, 위촉직(프리랜서)",없음,없음,"인원미정,친구",없음,아래 상세 내용 확인부탁드립니다.,월급,"2,000,000원",협의가능,없음,(아래내용 확인 부탁드립니다.)
㈜주오코스메틱스,(재택 근무)블로그운영 및 관리 알바 구합니다 (초보가능),상시모집,3명,무관,무관,무관,없음,"['월급', '550,000원']",6개월~1년,월~금,시간협의,"사무보조,바이럴·SNS마케팅 초보가능",알바,없음,없음,없음,없음,없음,월급,"550,000원",협의가능,없음,(10:00 - 12:50)
[면접비 2만원] 안양범계 센터,[재택가능] 10시-3시 [파트타임] 신입 첫달 250만원 (실적무관),2022.12.15,00명,무관,무관,무관,유사업무 경험,"['월급', '2,500,000원']",1년이상,월~금,10:00~15:00,"고객상담·인바운드,금융·보험영업,텔레마케팅·아웃바운드,ACE화재 브랜드 초보가능",위촉직(프리랜서),"월차, 인센티브제, 경조휴가제",없음,"인원미정,친구",장년가능,없음,월급,"2,500,000원",협의가능,없음,없음
주식회사 솔라루나,재택아웃바운드 TM업무자 모집합니다.,상시모집,00명,무관,무관,무관,유사업무 경험,"['건별', '60,000원', '협의가능', '방문접수건에 대해 1건당60000원']",1개월~3개월,주5일,시간협의,텔레마케팅·아웃바운드,알바,없음,"아웃바운드, 아웃바운드",인원미정,없음,"협의가능,방문접수건에 대해 1건당60000원",건별,"60,000원",협의가능,"(월, 화, 수, 목, 금)",(업무시간 조율가능 오전10~12시 2시~6시 사이 )
탑클래스에듀아이,[재택 화상과외 강사모집],상시모집,00명,무관,20세(2003년생) ~ 45세(1978년생),대학(4년제) 졸업 이상,"유사업무 경험, 대학재학생, 대학휴학생","['시급', '20,000원', '협의가능', '학년과 근무 개월수에 따라서 14,000원~22,000원+인센티브.']",6개월~1년,요일협의,시간협의,"입시·보습학원,외국어·어학원,교육·강사 기타","알바, 계약직","인센티브제, 우수사원 표창/포상, 장기근속자 포상, 연장근로수당",없음,"인원미정,친구",없음,"협의가능,학년과 근무 개월수에 따라서 14,000원~22,000원+인센티브.",시급,"20,000원",없음,없음,(평일 저녁시간 or 주말 가능.)
㈜테스트웍스,(모집)얼굴 표정 및 머리 움직임 영상 촬영자 모집,상시모집,999명,무관,무관,무관,없음,"['건별', '50,000원', '14건 동영상 촬영 및 검수 통과시 50,000원(세금포함) 지급']",1주일~1개월,주1일,00:00~24:00,"미디어 기타,동영상촬영·편집,사진촬영·편집",알바,없음,없음,없음,없음,"14건 동영상 촬영 및 검수 통과시 50,000원(세금포함) 지급",건별,"50,000원",없음,없음,없음
더엘커뮤니케이션,재택근무 알바 - 블로그 원고 작성 아르바이트 모집,상시모집,5명,무관,무관,무관,유사업무 경험,"['건별', '3,500원']",3개월~6개월,요일협의,시간협의,"바이럴·SNS마케팅,문서작성·자료조사",알바,없음,없음,없음,없음,없음,건별,"3,500원",협의가능,없음,없음
㈜그루마케팅,"[건당10만/초보가능] 블로그포스팅,키워드포스팅,원고발행",상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,재택알바/초보가능/포스팅알바/건10만/원고작성,상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,"블로그포스팅알바 학생, 주부, 초보 손쉬운 부업알바",상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,5분포스팅 / 간단글업로드 / 원고포스팅 / 블로그포스팅,상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,"[블로그포스팅,원고발행,,꿀알바,간편알바",상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,"재택 꿀알바 블로그포스팅, 당일10만지급, 초보가능",상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
㈜그루마케팅,"재택 건10만-원고업로드,5분포스팅(초보,주부,10대,20대가능",상시모집,00명,무관,무관,무관,없음,"['건별', '100,000원']",1개월~3개월,요일협의,시간협의,"사무보조,마케팅·광고·홍보,바이럴·SNS마케팅","알바, 계약직",없음,없음,인원미정,없음,없음,건별,"100,000원",없음,없음,(10분)
르에브,여성의류 쇼핑몰 프리랜서 웹디 모집 (재택근무),상시모집,1명,여자,20세(2003년생) ~ 29세(1994년생),무관,"컴퓨터활용가능, 포토샵가능","['시급', '9,160원']",3개월~6개월,요일협의,시간협의,"웹·모바일디자인,MD·쇼핑몰운영",위촉직(프리랜서),인센티브제,없음,없음,없음,없음,시급,"9,160원",협의가능,없음,(근로자 맞춤)
락휴노래방,#락휴노래연습장#구리점#아르바이트모집,상시모집,6명,무관,무관,무관,"유사업무 경험, 인근거주","['시급', '11,000원', '협의가능', '11,000']",1년이상,요일협의,시간협의,노래방 초보가능,알바,없음,없음,없음,없음,"협의가능,11,000",시급,"11,000원",협의가능,"(목,금 또는 토일 또는 목,금,토,일 (협의 가능합니다))",(오후11시~ 아침 8시 (협의 가능합니다))
MABASA,재택근무 (부업) 해외구매대행 소싱 알바,상시모집,2명,무관,무관,"대학(2,3년제) 졸업 이상","중국어가능, 컴퓨터활용가능, 유사업무 경험","['시급', '10,000원', '1주일 14.5시간 (월-목 3시간, 금 2.5시간)']",1년이상,월~금,시간협의,"데이터수집·가공,문서작성·자료조사","알바, 위촉직(프리랜서)",장기근속자 포상,없음,없음,없음,"1주일 14.5시간 (월-목 3시간, 금 2.5시간)",시급,"10,000원",협의가능,없음,(오전 9-12시 (시간 협의 가능))
박정용 국어학원,국어 학원 한글 편집 알바 구합니다.,상시모집,00명,무관,무관,무관,없음,"['시급', '10,000원', '협의가능', '건당 10만원~30만원']",6개월~1년,요일협의,시간협의,편집·교정·교열,알바,없음,없음,인원미정,없음,"협의가능,건당 10만원~30만원",시급,"10,000원",없음,(자택 근무),(자택 근무)
